"","day_num","num_collisions"
"644","5",703
"645","4",581
"646","4",447
"647","3",550
"648","7",454
"649","2",623
"650","3",660
"652","5",652
"653","3",589
"654","6",523
"655","7",503
"656","6",642
"657","2",639
"658","5",711
"659","1",503
"660","7",462
"661","1",645
"662","4",556
"663","4",644
"664","5",673
"665","5",563
"666","3",660
"667","4",525
"668","3",584
"670","4",611
"671","4",613
"674","7",693
"675","2",565
"676","1",618
"677","6",516
"678","3",629
"680","7",500
"686","1",575
"689","3",491
"691","2",627
"692","5",546
"694","5",580
"695","2",632
"696","2",584
"697","3",515
"698","1",526
"699","6",497
"701","3",562
"702","2",636
"704","3",538
"705","4",456
"706","3",629
"708","7",435
"713","2",637
"716","6",513
"719","6",507
"722","7",464
"725","7",415
"727","6",540
"728","2",474
"731","7",459
"732","2",676
"733","4",619
"736","2",601
"737","5",654
"738","1",661
"739","1",792
"740","5",532
"741","1",750
"742","1",686
"746","1",629
"747","2",374
"750","2",532
"751","4",612
"753","4",629
"754","6",625
"756","7",450
"757","3",571
"758","2",425
"759","3",565
"760","7",466
"763","2",510
"764","7",426
"765","1",529
"767","7",426
"769","1",513
"771","7",465
"772","4",549
"774","6",521
"775","4",624
"777","2",631
"778","4",508
"779","3",562
"780","3",441
"783","5",732
"784","1",562
"786","5",603
"788","3",650
"792","2",550
"793","5",530
"794","6",601
"795","2",628
"796","6",515
"797","3",473
"798","6",550
"799","2",592
"803","4",529
"805","1",650
"807","4",703
"808","5",672
"811","6",507
"812","3",609
"813","6",589
"814","3",574
"815","4",830
"816","1",522
"817","1",586
"818","4",582
"819","6",571
"820","1",710
"821","7",526
"822","7",404
"823","5",609
"824","6",493
"825","3",672
"826","1",440
"829","7",408
"831","2",551
"832","5",520
"833","7",451
"835","7",419
"836","6",578
"837","4",633
"839","3",636
"840","6",530
"841","4",625
"842","5",570
"843","7",427
"844","7",505
"845","6",569
"847","5",612
"848","6",474
"849","3",621
"852","5",673
"855","5",756
"856","1",616
"857","5",585
"858","7",489
"859","4",652
"861","1",571
"862","3",525
"863","5",685
"865","6",459
"866","6",504
"867","5",751
"868","1",547
"869","4",639
"871","2",450
"873","1",617
"874","5",745
"875","7",423
"876","1",498
"877","5",753
"878","2",662
"879","1",679
"882","7",502
"883","6",569
"884","1",556
"885","6",371
"886","4",627
"888","2",547
"889","2",610
"890","6",519
"891","2",628
"893","1",658
"894","4",538
"895","1",546
"896","5",533
"897","6",515
"899","4",760
"901","7",491
"902","2",528
"903","2",597
"905","5",644
"906","7",432
"907","2",527
"908","3",540
"911","5",551
"912","7",412
"913","5",607
"917","2",578
"919","1",519
"920","5",604
"921","1",623
"922","1",378
"923","2",608
"924","6",567
"925","4",839
"926","4",586
"927","7",456
"928","7",516
"930","6",562
"933","4",635
"935","6",536
"936","4",558
"937","2",586
"941","1",559
"942","5",589
"944","6",488
"945","4",665
"947","5",753
"950","6",548
"952","1",597
"953","3",517
"954","6",550
"955","2",559
"956","3",540
"957","7",479
"958","7",459
"959","7",457
"960","5",718
"961","3",653
"963","3",652
"964","7",550
"965","4",557
"966","6",609
"968","3",617
"969","4",689
"970","1",640
"971","3",477
"972","3",547
"973","7",437
"975","2",374
"976","6",530
"977","4",653
"980","3",563
"981","3",650
"985","4",535
"986","3",475
"987","4",545
"992","2",683
"994","2",587
"995","4",688
"996","7",487
"998","2",592
"999","3",519
"1001","1",594
"1002","7",457
"1003","3",540
"1008","7",568
"1009","6",604
"1010","4",632
"1016","2",553
"1017","5",675
"1020","6",599
"1021","7",398
"1022","5",690
"1024","3",587
"1028","1",565
"1029","1",541
"1030","6",605
"1032","1",687
"1036","7",395
"1037","4",540
"1039","4",592
"1042","4",518
"1043","5",515
"1045","6",456
"1046","5",500
"1048","5",688
"1049","5",551
"1050","6",597
"1051","1",646
"1054","7",443
"1055","3",612
"1056","2",551
"1058","7",440
"1059","1",554
"1060","7",472
"1061","5",733
"1062","1",675
"1063","1",510
"1066","1",521
"1067","1",597
"1069","4",537
"1070","6",587
"1072","1",488
"1073","5",741
"1074","6",578
"1075","4",729
"1076","2",671
"1077","2",542
"1078","6",525
"1079","2",537
"1084","6",551
"1088","4",610
"1089","6",555
"1093","3",621
"1094","3",580
"1096","7",505
"1098","1",582
"1099","1",522
"1100","4",590
"1101","3",700
"1104","5",617
"1105","6",495
"1107","6",661
"1108","7",568
"1109","5",486
"1110","2",613
"1111","2",459
"1112","7",484
"1114","7",517
"1115","7",541
"1116","5",517
"1117","3",679
"1118","3",510
"1119","3",626
"1120","1",598
"1121","7",499
"1122","6",517
"1123","1",533
"1125","4",653
"1128","6",679
"1129","2",668
"1130","3",598
"1131","3",595
"1132","4",553
"1136","5",515
"1137","3",648
"1139","7",482
"1140","5",582
"1141","5",702
"1143","7",422
"1144","4",694
"1145","4",489
"1147","7",477
"1149","3",568
"1151","3",515
"1153","1",558
"1154","1",683
"1156","2",576
"1157","4",517
"1158","7",514
"1159","3",628
"1160","6",581
"1161","1",634
"1162","4",583
"1163","6",557
"1165","4",674
"1167","6",624
"1168","2",549
"1169","6",548
"1171","5",496
"1172","7",449
"1173","2",645
"1175","2",479
"1177","3",535
"1178","6",584
"1179","3",633
"1180","2",638
"1181","7",470
"1182","6",592
"1183","1",625
"1184","5",679
"1186","6",487
"1187","7",471
"1188","1",603
"1190","5",701
"1192","6",649
"1194","1",624
"1195","2",564
"1197","2",606
"1199","5",609
"1200","1",562
"1201","1",479
"1202","7",399
"1203","4",706
"1204","2",452
"1205","5",755
"1206","2",519
