day_num,year,month,day,collision_date,temp,max_temp,min_temp,humidity,mean_sea_level_pressure,visibility,mean_wind_speed,maximum_sustained_wind_speed,maximum_wind_gust,total_precipitation,snow_depth_inches,fog,rain_drizzle,snow_ice_pellets,hail,thunder,tornado_funnel_cloud,num_collisions
3,2019,01,02,2019-01-02,38.0,57.9,35.1,23.2,1024.2,10.0,,,,0.06,0.0,0,0,0,0,0,0,453
4,2014,01,23,2014-01-23,13.1,19.4,8.6,-2.3,,,,,,0.02,11.0,0,0,0,0,0,0,514
4,2019,01,17,2019-01-17,30.1,39.0,24.1,10.0,1026.1,10.0,,,,0.0,0.0,0,0,0,0,0,0,543
6,2019,01,19,2019-01-19,35.1,39.0,28.9,23.4,1022.0,9.8,,,,0.0,1.2,0,0,0,0,0,0,445
4,2019,01,10,2019-01-10,33.0,45.0,30.0,16.1,1005.4,10.0,,,,0.06,0.0,0,0,0,0,0,0,528
4,2018,01,11,2018-01-11,44.7,53.1,30.0,36.7,1028.2,8.8,2.4,6.0,,0.0,3.9,0,0,0,0,0,0,648
3,2016,01,06,2016-01-06,31.2,41.0,10.9,2.8,1034.2,10.0,2.4,7.0,,0.0,0.0,0,0,0,0,0,0,535
5,2020,01,31,2020-01-31,37.9,44.1,25.0,27.9,1026.3,10.0,2.7,5.1,,0.0,0.0,0,0,0,0,0,0,488
4,2014,01,09,2014-01-09,25.3,32.0,9.0,5.4,1035.2,10.0,2.8,8.0,,0.0,0.0,0,0,0,0,0,0,472
6,2020,01,04,2020-01-04,48.6,51.1,44.1,46.2,1005.7,4.9,2.8,6.0,,0.34,0.0,1,1,0,0,0,0,325
4,2016,01,07,2016-01-07,37.9,46.0,25.0,8.7,1027.2,10.0,2.9,8.0,,0.0,0.0,0,0,0,0,0,0,457
7,2013,01,13,2013-01-13,45.3,48.9,43.0,43.1,1019.7,4.2,2.9,8.0,,0.02,0.0,1,0,0,0,0,0,312
1,2016,01,25,2016-01-25,32.7,39.0,19.9,16.2,1022.9,9.6,2.9,6.0,,0.0,22.0,0,0,0,0,0,0,577
2,2020,01,14,2020-01-14,42.3,46.0,37.0,36.2,1027.0,7.7,2.9,8.0,,0.0,0.0,0,1,0,0,0,0,467
5,2014,01,10,2014-01-10,32.3,36.0,21.9,22.6,1033.3,6.4,2.9,7.0,,0.0,0.0,0,1,1,0,0,0,569
4,2017,01,19,2017-01-19,42.1,48.9,37.9,35.0,1016.5,10.0,3.0,8.0,,0.06,0.0,0,0,0,0,0,0,581
4,2015,01,29,2015-01-29,26.6,34.0,16.0,6.5,1024.2,10.0,3.1,6.0,,0.0,7.9,0,0,0,0,0,0,439
1,2017,01,16,2017-01-16,35.0,43.0,30.0,20.0,1029.7,10.0,3.1,7.0,,0.0,1.2,0,0,0,0,0,0,443
4,2014,01,30,2014-01-30,21.2,30.0,14.0,0.2,1027.9,10.0,3.1,8.9,18.1,0.0,2.0,0,0,0,0,0,0,561
1,2018,01,22,2018-01-22,45.1,50.0,41.0,37.0,1021.1,7.0,3.2,8.0,14.0,0.01,0.0,0,0,0,0,0,0,520
5,2018,01,26,2018-01-26,30.7,37.9,23.0,4.8,1037.1,10.0,3.2,8.0,14.0,0.0,0.0,0,0,0,0,0,0,645
3,2014,01,15,2014-01-15,42.6,46.9,39.2,37.5,1009.9,8.8,3.3,6.0,,0.38,0.0,0,0,0,0,0,0,494
1,2015,01,12,2015-01-12,36.9,37.9,35.1,23.7,1029.2,6.6,3.3,8.9,15.0,0.01,1.2,0,1,0,0,0,0,493
7,2015,01,18,2015-01-18,35.1,42.8,30.0,27.8,1021.2,5.7,3.3,6.0,,0.0,0.0,1,1,0,0,0,0,789
4,2015,01,22,2015-01-22,34.4,39.9,25.0,19.0,1022.5,8.3,3.4,8.0,,0.0,0.0,0,0,0,0,0,0,434
7,2018,01,21,2018-01-21,46.0,52.0,37.9,28.3,1019.4,10.0,3.4,7.0,,0.0,0.0,0,0,0,0,0,0,392
1,2013,01,28,2013-01-28,31.8,34.0,28.9,19.0,1029.1,6.9,3.5,8.9,18.1,0.0,1.2,0,1,1,0,0,0,438
3,2018,01,03,2018-01-03,21.6,30.0,12.9,2.1,1025.4,10.0,3.5,8.0,24.1,0.0,0.0,0,0,0,0,0,0,619
6,2013,01,12,2013-01-12,44.6,46.9,42.1,43.0,1020.5,3.9,3.5,7.0,,0.57,0.0,0,1,0,0,0,0,398
4,2015,01,15,2015-01-15,29.5,34.0,25.0,16.3,1019.8,10.0,3.6,8.0,,0.0,0.0,0,0,0,0,0,0,474
3,2013,01,30,2013-01-30,45.7,59.0,39.0,42.9,1010.2,3.5,3.6,8.9,,0.06,0.0,1,1,0,0,0,0,427
7,2017,01,22,2017-01-22,44.5,48.9,41.0,43.6,1006.9,3.4,3.7,9.9,17.1,0.0,0.0,1,1,0,0,0,0,395
5,2020,01,03,2020-01-03,46.6,48.9,33.1,38.6,1009.7,8.1,3.7,6.0,15.0,0.06,0.0,0,1,0,0,0,0,426
3,2013,01,09,2013-01-09,43.8,48.9,39.0,30.8,1026.3,7.8,3.7,9.9,15.9,0.0,0.0,0,0,0,0,0,0,418
4,2013,01,03,2013-01-03,28.4,32.0,24.1,14.1,1020.6,10.0,3.7,8.0,15.0,0.0,0.0,0,0,0,0,0,0,469
3,2018,01,10,2018-01-10,35.1,44.1,30.0,21.0,1030.3,10.0,3.7,7.0,,0.0,5.1,0,0,0,0,0,0,648
7,2017,01,15,2017-01-15,33.0,37.9,28.0,23.8,1027.0,8.5,3.7,8.0,,0.12,0.0,0,0,1,0,0,0,470
5,2016,01,15,2016-01-15,41.2,51.1,21.9,27.5,1012.0,9.5,3.8,8.0,15.0,0.0,0.0,0,0,0,0,0,0,598
7,2018,01,28,2018-01-28,51.2,55.9,48.0,42.8,1023.9,9.0,3.8,8.0,18.1,0.14,0.0,0,1,0,0,0,0,385
7,2014,01,05,2014-01-05,30.3,36.0,27.0,21.9,1025.6,6.4,3.8,7.0,15.0,0.0,5.9,1,0,1,0,0,0,267
2,2017,01,17,2017-01-17,40.0,43.0,30.0,30.4,1024.1,6.6,3.8,9.9,17.1,0.0,0.0,0,1,0,0,0,0,628
1,2013,01,14,2013-01-14,52.5,72.0,48.0,45.4,1016.8,5.9,3.9,8.9,15.9,0.0,0.0,1,0,0,0,0,0,454
2,2018,01,16,2018-01-16,29.1,36.0,16.0,22.2,1032.0,10.0,3.9,7.0,,0.0,0.0,0,0,0,0,0,0,579
