day_num,year,month,day,collision_date,temp,max_temp,min_temp,humidity,mean_sea_level_pressure,visibility,mean_wind_speed,maximum_sustained_wind_speed,maximum_wind_gust,total_precipitation,snow_depth_inches,num_collisions
5,2023,01,13,2023-01-13,52.0,57.0,37.0,46.8,1002.3,8.2,6.0,11.1,20.0,0.38,0.0,296
6,2023,03,18,2023-03-18,50.0,60.1,43.0,28.4,1004.6,9.8,6.0,9.9,18.1,0.02,0.0,233
3,2023,01,18,2023-01-18,47.5,53.1,35.1,32.2,1006.7,9.8,6.1,13.0,22.0,0.05,0.0,258
6,2023,01,28,2023-01-28,42.7,52.0,35.1,21.7,1022.7,10.0,6.1,11.1,28.0,0.0,0.0,257
6,2023,02,11,2023-02-11,42.4,61.0,36.0,20.4,1021.8,10.0,6.1,11.1,22.9,0.0,0.0,261
6,2023,01,07,2023-01-07,40.7,48.9,37.0,28.5,1019.9,10.0,6.2,8.9,,0.01,0.0,178
2,2023,04,18,2023-04-18,53.8,62.1,50.0,30.5,1006.5,10.0,6.2,14.0,22.0,0.0,0.0,237
1,2023,01,23,2023-01-23,37.8,42.1,36.0,34.8,1003.8,5.3,6.2,14.0,24.1,0.75,0.0,254
1,2023,03,13,2023-03-13,41.2,48.0,34.0,36.5,1012.8,6.1,6.3,12.0,22.9,0.04,0.0,317
7,2023,03,05,2023-03-05,43.7,53.1,37.9,28.4,1018.2,10.0,6.3,13.0,21.0,0.02,0.0,264
2,2023,02,28,2023-02-28,34.3,46.0,32.0,31.2,1006.7,3.5,6.3,15.9,24.1,0.47,0.0,227
2,2023,01,24,2023-01-24,38.9,46.0,35.1,23.5,1018.2,10.0,6.4,13.0,24.1,0.17,0.0,234
4,2023,03,16,2023-03-16,43.2,59.0,34.0,13.2,1015.9,10.0,6.4,12.0,21.0,0.0,0.0,250
5,2023,02,24,2023-02-24,41.9,45.0,34.0,29.2,1019.7,7.6,6.5,17.1,28.0,0.02,0.0,269
1,2023,02,13,2023-02-13,46.7,57.0,37.9,18.2,1004.1,10.0,6.6,11.1,15.9,0.01,0.0,264
7,2023,04,30,2023-04-30,52.8,59.0,46.9,51.3,1007.2,3.2,6.7,12.0,18.1,1.32,0.0,284
6,2023,03,11,2023-03-11,40.4,46.0,35.1,34.7,1006.6,7.1,6.7,11.1,19.0,0.58,0.0,245
5,2023,02,10,2023-02-10,56.0,61.0,42.1,39.5,1010.7,10.0,6.8,17.1,25.1,0.0,0.0,297
6,2023,04,29,2023-04-29,49.6,53.1,46.4,47.9,1013.3,2.6,6.8,11.1,19.0,1.47,0.0,326
4,2023,08,31,2023-08-31,70.4,82.9,64.0,51.8,1012.3,10.0,6.8,12.0,21.0,0.27,0.0,307
4,2023,03,09,2023-03-09,40.6,51.1,30.9,24.1,1021.2,10.0,6.8,12.0,19.0,0.0,0.0,296
4,2023,02,23,2023-02-23,38.8,44.1,37.0,35.4,1013.1,7.8,6.9,12.0,19.0,0.16,0.0,214
4,2023,05,25,2023-05-25,58.8,77.0,50.0,39.6,1019.3,10.0,6.9,9.9,22.0,0.08,0.0,296
3,2023,08,09,2023-08-09,76.7,86.0,69.1,56.4,1006.2,10.0,6.9,9.9,19.0,0.01,0.0,258
3,2023,04,05,2023-04-05,52.7,73.0,46.0,48.4,1022.0,5.6,6.9,14.0,27.0,0.0,0.0,275
6,2023,04,22,2023-04-22,56.8,71.1,51.1,50.2,1014.5,7.5,6.9,11.1,15.9,0.0,0.0,259
5,2023,04,07,2023-04-07,55.8,64.0,48.9,23.6,1025.2,10.0,7.1,11.1,22.0,0.0,0.0,210
4,2023,03,30,2023-03-30,39.4,55.0,30.9,17.1,1022.8,10.0,7.2,12.0,21.0,0.01,0.0,293
6,2023,03,04,2023-03-04,41.5,46.9,37.0,36.0,1001.2,7.4,7.2,18.1,29.9,1.12,0.0,268
1,2023,01,16,2023-01-16,35.5,48.0,28.0,10.3,1013.1,10.0,7.3,13.0,21.0,0.0,0.0,216
6,2023,03,25,2023-03-25,45.1,55.0,42.1,32.4,1016.9,8.0,7.4,12.0,25.1,0.0,0.0,226
6,2023,01,14,2023-01-14,35.6,39.9,32.0,24.2,1008.5,9.3,7.7,12.0,22.0,0.09,0.0,243
1,2023,09,25,2023-09-25,63.1,66.0,59.0,58.7,1017.1,3.3,7.8,15.0,32.1,1.42,0.0,171
3,2023,03,08,2023-03-08,37.7,48.0,30.9,19.4,1018.8,10.0,7.9,12.0,24.1,0.0,0.0,235
4,2023,06,22,2023-06-22,64.9,73.0,60.1,54.1,1022.0,9.3,8.1,14.0,21.0,0.0,0.0,228
2,2023,03,14,2023-03-14,36.3,45.0,33.1,31.7,1001.4,5.6,8.1,17.1,28.0,0.75,0.0,268
6,2023,02,18,2023-02-18,34.1,42.1,27.0,13.7,1022.2,10.0,8.1,12.0,22.9,0.18,0.0,252
2,2023,03,07,2023-03-07,40.9,52.0,33.1,17.8,1010.1,8.7,8.1,20.0,31.1,0.06,0.0,273
4,2023,01,26,2023-01-26,47.7,57.0,35.1,37.9,1002.3,7.9,8.2,15.0,25.1,1.34,0.0,255
7,2023,03,19,2023-03-19,36.6,55.9,28.9,9.0,1013.8,10.0,8.2,15.0,26.0,0.0,0.0,248
7,2023,04,02,2023-04-02,47.9,72.0,39.9,22.6,1007.9,9.9,8.2,14.0,28.0,0.38,0.0,246
7,2023,01,15,2023-01-15,33.9,41.0,30.0,18.4,1014.7,10.0,8.4,14.0,26.0,0.0,0.0,193
6,2023,02,04,2023-02-04,12.2,35.1,3.0,-10.8,1032.6,10.0,8.6,15.0,27.0,0.0,0.0,222
3,2023,06,21,2023-06-21,66.5,78.1,62.1,53.6,1024.3,10.0,9.0,14.0,20.0,0.0,0.0,268
5,2023,02,03,2023-02-03,27.3,39.9,15.1,4.9,1013.8,10.0,9.4,17.1,33.0,0.0,0.0,307
6,2023,09,23,2023-09-23,60.1,71.1,57.0,54.0,1022.4,6.9,9.6,14.0,24.1,0.02,0.0,208
7,2023,09,24,2023-09-24,63.2,66.0,57.0,59.7,1015.9,4.6,11.0,14.0,27.0,1.11,0.0,214
3,2023,03,15,2023-03-15,37.8,45.0,33.1,20.8,1007.3,10.0,11.2,17.1,34.0,0.01,0.0,282
