"","Apr","Aug","Dec","Feb","Jan","Jul","Jun","Mar","May","Nov","Oct","Sep","Fri","Mon","Sat","Sun","Thu","Tue","Wed","year","max_temp_standardised","num_collisions"
"45",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2019,-1.0243728946216,0.207317073170732
"46",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2016,-1.3542484593391,0.552845528455285
"47",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2018,-0.677723996104896,0.697154471544715
"48",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2020,-1.18092401008075,0.335365853658537
"49",0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2020,-0.789546221432864,0
"50",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,-1.85744847331496,0.422764227642276
"51",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2016,-1.07469289601918,0.384146341463415
"52",0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2014,-1.63380402265902,0.638211382113821
"53",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,2013,-0.912550669293629,0.040650406504065
"54",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2020,-1.07469289601918,0.292682926829268
"55",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2016,-1.46607068466707,0.619918699186992
"56",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2017,-0.912550669293629,0.522357723577236
"57",0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2017,-1.24242623401113,0.252032520325203
"58",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2015,-1.74562624798699,0.33739837398374
"59",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2014,-1.96927069864293,0.617886178861789
